cell_type,rank,gene,attn_score,gene_type
Dendritic Cells,83,DNAJC13,10.161367477973302,protein coding
Dendritic Cells,84,TRIP13,9.942480087280273,protein coding
Dendritic Cells,85,SPSB1,9.890659586166562,protein coding
Dendritic Cells,86,RPL9,9.815504312515259,protein coding
Dendritic Cells,87,COMMD8,9.77617597579956,protein coding
Dendritic Cells,88,ZBTB48,9.596776640169036,protein coding
Dendritic Cells,89,CYTL1,9.56550897251476,protein coding
Dendritic Cells,90,BDH2,9.564832051595053,protein coding
Dendritic Cells,91,PIGG,9.36846982349049,protein coding
Dendritic Cells,92,SLC25A20,9.28440385277026,protein coding
Dendritic Cells,93,CISH,9.136631031597362,protein coding
Dendritic Cells,94,ABCC5,9.009891944272178,protein coding
Dendritic Cells,95,BST1,9.000537186861038,protein coding
Dendritic Cells,96,LRRC47,8.909400751457103,protein coding
Dendritic Cells,97,PFN2,8.319403408716122,protein coding
Dendritic Cells,98,P2RY13,8.233607083559036,protein coding
Dendritic Cells,99,DFFA,8.218196500191647,protein coding
Dendritic Cells,100,VPS8,8.209152460098267,protein coding
FCGR3A+ Monocytes,1,ECT2,98.58142852783203,protein coding
FCGR3A+ Monocytes,2,CPA3,90.06375885009766,protein coding
FCGR3A+ Monocytes,3,ZNF639,64.5224609375,protein coding
FCGR3A+ Monocytes,4,TWF2,57.20247014363607,protein coding
FCGR3A+ Monocytes,5,CNBP,56.027278423309326,protein coding
FCGR3A+ Monocytes,6,ZMAT3,47.587806701660156,protein coding
FCGR3A+ Monocytes,7,P2RY14,44.66328811645508,protein coding
FCGR3A+ Monocytes,8,TBL1XR1,42.9498176574707,protein coding
FCGR3A+ Monocytes,9,RUVBL1,41.99536991119385,protein coding
FCGR3A+ Monocytes,10,NMD3,40.97836685180664,protein coding
FCGR3A+ Monocytes,11,TIPARP,35.49883270263672,protein coding
FCGR3A+ Monocytes,12,CD96,35.23417091369629,protein coding
FCGR3A+ Monocytes,13,ASTE1,35.16533374786377,protein coding
FCGR3A+ Monocytes,14,HLTF,33.02074432373047,protein coding
FCGR3A+ Monocytes,15,RRP9,32.37636625766754,protein coding
FCGR3A+ Monocytes,16,SRPRB,31.148669242858887,protein coding
FCGR3A+ Monocytes,17,GMPS,30.188989639282227,protein coding
FCGR3A+ Monocytes,18,ACTL6A,27.362945556640625,protein coding
FCGR3A+ Monocytes,19,RASSF1,26.875844764709473,protein coding
FCGR3A+ Monocytes,20,MRPL3,26.755840301513672,protein coding
FCGR3A+ Monocytes,21,SLC35A5,25.469128608703613,protein coding
FCGR3A+ Monocytes,22,TCTA,25.452614625295002,protein coding
FCGR3A+ Monocytes,23,NME6,23.75700542661879,protein coding
FCGR3A+ Monocytes,24,GORASP1,20.53638834953308,protein coding
FCGR3A+ Monocytes,25,QRICH1,18.793940544128418,protein coding
FCGR3A+ Monocytes,26,CCDC51,18.716022059321404,protein coding
FCGR3A+ Monocytes,27,RBM15B,18.528121948242188,protein coding
FCGR3A+ Monocytes,28,GTF2E1,18.039450963338215,protein coding
FCGR3A+ Monocytes,29,GNAI2,17.647646927833556,protein coding
FCGR3A+ Monocytes,30,CISH,16.9806866645813,protein coding
FCGR3A+ Monocytes,31,CCDC71,16.295818328857422,protein coding
FCGR3A+ Monocytes,32,THOC7,16.25100104014079,protein coding
FCGR3A+ Monocytes,33,TMEM39A,16.12014897664388,protein coding
FCGR3A+ Monocytes,34,MYD88,16.101433038711548,protein coding
FCGR3A+ Monocytes,35,CTNNB1,15.601720118522644,protein coding
FCGR3A+ Monocytes,36,SFMBT1,15.40913454691569,protein coding
FCGR3A+ Monocytes,37,SSR3,15.137829780578613,protein coding
FCGR3A+ Monocytes,38,PECR,15.118244989713032,protein coding
FCGR3A+ Monocytes,39,C3orf14,14.45556386311849,protein coding
FCGR3A+ Monocytes,40,STK25,13.664199407284077,protein coding
FCGR3A+ Monocytes,41,DPPA4,13.263731638590494,protein coding
FCGR3A+ Monocytes,42,ZBTB11,13.187113841374716,protein coding
FCGR3A+ Monocytes,43,DYNC1LI1,12.967132329940796,protein coding
FCGR3A+ Monocytes,44,WDR6,12.80997496843338,protein coding
FCGR3A+ Monocytes,45,PDCD1,12.615593836857723,protein coding
FCGR3A+ Monocytes,46,CA6,12.369749024722651,protein coding
FCGR3A+ Monocytes,47,MLH1,12.222744369506836,protein coding
FCGR3A+ Monocytes,48,PANK4,12.12371989872381,protein coding
FCGR3A+ Monocytes,49,ZNF197,12.11079113483429,protein coding
FCGR3A+ Monocytes,50,CLDND1,12.000728607177734,protein coding
FCGR3A+ Monocytes,51,OXSR1,11.246559619903564,protein coding
FCGR3A+ Monocytes,52,HAT1,10.996464023084352,protein coding
FCGR3A+ Monocytes,53,COQ10B,10.956338080492886,protein coding
FCGR3A+ Monocytes,54,PRKRA,10.737997887226252,protein coding
FCGR3A+ Monocytes,55,TNFRSF14,10.630424828610868,protein coding
FCGR3A+ Monocytes,56,EIF1B,10.150832462310792,protein coding
FCGR3A+ Monocytes,57,MYLK,10.122407913208008,protein coding
FCGR3A+ Monocytes,58,ATG7,10.070982326160777,protein coding
FCGR3A+ Monocytes,59,SPSB1,9.791212662332757,protein coding
FCGR3A+ Monocytes,60,GPD1L,9.775625705718994,protein coding
FCGR3A+ Monocytes,61,CYP27A1,9.382463196049565,protein coding
FCGR3A+ Monocytes,62,C1orf174,8.72608061699446,protein coding
FCGR3A+ Monocytes,63,NDUFB3,8.570209689256622,protein coding
FCGR3A+ Monocytes,64,RNF123,8.456621487935385,protein coding
FCGR3A+ Monocytes,65,NIF3L1,8.427997469902039,protein coding
FCGR3A+ Monocytes,66,PARK7,8.199019838941743,protein coding
FCGR3A+ Monocytes,67,CLSTN1,8.191125699003198,protein coding
FCGR3A+ Monocytes,68,PCCB,7.867847442626953,protein coding
FCGR3A+ Monocytes,69,PCBP4,7.694341619809468,protein coding
FCGR3A+ Monocytes,70,ICOS,7.501155998080205,protein coding
FCGR3A+ Monocytes,71,ACTR8,7.466038703918457,protein coding
FCGR3A+ Monocytes,72,PER3,7.4572680525460475,protein coding
FCGR3A+ Monocytes,73,CAMTA1,7.303840716340264,protein coding
FCGR3A+ Monocytes,74,RETSAT,7.252854480780661,protein coding
FCGR3A+ Monocytes,75,SEC22A,7.2255204518636065,protein coding
FCGR3A+ Monocytes,76,PLCH2,7.217203027502424,protein coding
FCGR3A+ Monocytes,77,REV1,7.193012752891642,protein coding
FCGR3A+ Monocytes,78,TSEN2,6.993907148187811,protein coding
FCGR3A+ Monocytes,79,GPX1,6.959958715098245,protein coding
FCGR3A+ Monocytes,80,PMS1,6.812296765915891,protein coding
FCGR3A+ Monocytes,81,ZNF804A,6.757796198737864,protein coding
FCGR3A+ Monocytes,82,SLC41A3,6.723512649536133,protein coding
FCGR3A+ Monocytes,83,OXSM,6.720481890439987,protein coding
FCGR3A+ Monocytes,84,CHPF,6.719261937671238,protein coding
FCGR3A+ Monocytes,85,IFRD2,6.577854442596435,protein coding
FCGR3A+ Monocytes,86,MITF,6.497681458791097,protein coding
FCGR3A+ Monocytes,87,NDUFS1,6.496752547590356,protein coding
FCGR3A+ Monocytes,88,RPN1,6.469888895750046,protein coding
FCGR3A+ Monocytes,89,SH3BGRL3,6.466530455313517,protein coding
FCGR3A+ Monocytes,90,ANKRD28,6.457550776004791,protein coding
FCGR3A+ Monocytes,91,ZNF654,6.386838595072429,protein coding
FCGR3A+ Monocytes,92,GMPPA,6.380319104953245,protein coding
FCGR3A+ Monocytes,93,OSGEPL1,6.3283816029628115,protein coding
FCGR3A+ Monocytes,94,UBE2E3,6.185363874435425,protein coding
FCGR3A+ Monocytes,95,SATB1,6.156736814975739,protein coding
FCGR3A+ Monocytes,96,GTPBP8,6.1124482949574785,protein coding
FCGR3A+ Monocytes,97,HMGN2,6.0617981080995325,protein coding
FCGR3A+ Monocytes,98,WDR3,6.051955910829397,protein coding
FCGR3A+ Monocytes,99,PLCL1,5.868981638415293,protein coding
FCGR3A+ Monocytes,100,VPS72,5.793251347725405,protein coding
Megakaryocytes,1,TMEM156,86.03986358642578,protein coding
Megakaryocytes,2,NDUFC1,64.52239990234375,protein coding
Megakaryocytes,3,ALPK1,61.82980728149414,protein coding
Megakaryocytes,4,TSPAN5,60.591060638427734,protein coding
Megakaryocytes,5,TMEM165,53.033607482910156,protein coding
Megakaryocytes,6,SPRY1,47.587425231933594,protein coding
Megakaryocytes,7,ANXA5,44.718162536621094,protein coding
Megakaryocytes,8,USP53,40.97892761230469,protein coding
Megakaryocytes,9,COPS4,39.88739013671875,protein coding
Megakaryocytes,10,MED28,39.69944381713867,protein coding
Megakaryocytes,11,TLR6,39.067344188690186,protein coding
Megakaryocytes,12,LIAS,38.109466552734375,protein coding
Megakaryocytes,13,MCCC1,37.59746265411377,protein coding
Megakaryocytes,14,GPR171,36.51928464571635,protein coding
Megakaryocytes,15,PF4,36.091243743896484,protein coding
Megakaryocytes,16,DCUN1D1,35.700355052948,protein coding
Megakaryocytes,17,PARL,35.53168320655823,protein coding
Megakaryocytes,18,ARHGAP24,33.347530364990234,protein coding
Megakaryocytes,19,PLAC8,33.12708282470703,protein coding
Megakaryocytes,20,BANK1,33.021217346191406,protein coding
Megakaryocytes,21,TXK,30.221939086914062,protein coding
Megakaryocytes,22,NFKB1,30.185945510864258,protein coding
Megakaryocytes,23,NDUFB5,29.339274406433105,protein coding
Megakaryocytes,24,MGST2,27.76045799255371,protein coding
Megakaryocytes,25,EIF5A2,27.53646683692932,protein coding
Megakaryocytes,26,MTHFD2L,27.267545700073242,protein coding
Megakaryocytes,27,TMEM33,26.333816528320312,protein coding
Megakaryocytes,28,LRCH3,25.94508171081543,protein coding
Megakaryocytes,29,BST1,25.92596745491028,protein coding
Megakaryocytes,30,SLC30A9,25.925010681152344,protein coding
Megakaryocytes,31,CD38,25.861949920654297,protein coding
Megakaryocytes,32,CYTL1,25.34756988286972,protein coding
Megakaryocytes,33,MRFAP1L1,24.343246698379517,protein coding
Megakaryocytes,34,CLDND1,23.971048446801994,protein coding
Megakaryocytes,35,MRPL3,23.386564413706463,protein coding
Megakaryocytes,36,FAIM,23.33456814289093,protein coding
Megakaryocytes,37,BDH1,23.016239047050476,protein coding
Megakaryocytes,38,TBCCD1,22.84791660308838,protein coding
Megakaryocytes,39,MAML3,22.4104061126709,protein coding
Megakaryocytes,40,USP13,22.17142988741398,protein coding
Megakaryocytes,41,DCK,22.16147232055664,protein coding
Megakaryocytes,42,PODXL2,21.673478039828215,protein coding
Megakaryocytes,43,SLBP,20.995413541793823,protein coding
Megakaryocytes,44,MYL5,20.679463386535645,protein coding
Megakaryocytes,45,ZNF141,20.3962721824646,protein coding
Megakaryocytes,46,SIAH2,20.254660377899807,protein coding
Megakaryocytes,47,CEP70,19.454727590084076,protein coding
Megakaryocytes,48,GBE1,18.21879346554096,protein coding
Megakaryocytes,49,CSTA,18.082121545618232,protein coding
Megakaryocytes,50,DNAJC13,17.168879720899795,protein coding
Megakaryocytes,51,GSK3B,16.559665481249493,protein coding
Megakaryocytes,52,ANKRD17,16.308982849121094,protein coding
Megakaryocytes,53,TRAT1,16.153219796144047,protein coding
Megakaryocytes,54,GCC2,15.520215116228377,protein coding
Megakaryocytes,55,GSTCD,15.188756942749023,protein coding
Megakaryocytes,56,PFN2,15.121187107903618,protein coding
Megakaryocytes,57,CACNA2D3,14.965507213885967,protein coding
Megakaryocytes,58,TTN,14.948683277324394,protein coding
Megakaryocytes,59,RNPEPL1,14.815216768871654,protein coding
Megakaryocytes,60,PMS1,14.630867004394531,protein coding
Megakaryocytes,61,MAGEF1,14.609496116638184,protein coding
Megakaryocytes,62,ANKRD28,14.574267160892486,protein coding
Megakaryocytes,63,LRPAP1,14.276836395263672,protein coding
Megakaryocytes,64,TACC3,14.27674388885498,protein coding
Megakaryocytes,65,IARS2,14.058482542886573,protein coding
Megakaryocytes,66,CD96,13.776670063917454,protein coding
Megakaryocytes,67,CXCL3,13.473649024963379,protein coding
Megakaryocytes,68,RPN1,13.275195815346457,protein coding
Megakaryocytes,69,PSMD6,13.191265133711008,protein coding
Megakaryocytes,70,TLR2,13.09381103515625,protein coding
Megakaryocytes,71,NR1D2,13.010859374937258,protein coding
Megakaryocytes,72,CTDSP1,12.657083234786988,protein coding
Megakaryocytes,73,CISH,12.547927618026733,protein coding
Megakaryocytes,74,TMEM131,12.507389090000055,protein coding
Megakaryocytes,75,SLC25A20,12.31839004684897,protein coding
Megakaryocytes,76,PANK4,11.916899062015794,protein coding
Megakaryocytes,77,LBR,11.770668267405458,protein coding
Megakaryocytes,78,EYA3,11.15609673647718,protein coding
Megakaryocytes,79,UNC50,11.115512143342922,protein coding
Megakaryocytes,80,MAP3K2,10.834078383166343,protein coding
Megakaryocytes,81,CHST2,10.719906159809657,protein coding
Megakaryocytes,82,PHGDH,10.523701329769073,protein coding
Megakaryocytes,83,ZNF804A,10.244089830804754,protein coding
Megakaryocytes,84,CAMK1,10.221683210134506,protein coding
Megakaryocytes,85,SLAMF7,10.212472140980072,protein coding
Megakaryocytes,86,IGF2BP2,10.19476318359375,protein coding
Megakaryocytes,87,RNASEL,10.15554174914289,protein coding
Megakaryocytes,88,LRRC47,10.126667950641025,protein coding
Megakaryocytes,89,UGDH,9.943203926086426,protein coding
Megakaryocytes,90,ACVR1,9.819889768213034,protein coding
Megakaryocytes,91,SCN9A,9.734961735791174,protein coding
Megakaryocytes,92,ZNF692,9.420279878836412,protein coding
Megakaryocytes,93,RAF1,9.215695297718048,protein coding
Megakaryocytes,94,WNT7A,9.209352004528046,protein coding
Megakaryocytes,95,SMYD3,9.186437988510498,protein coding
Megakaryocytes,96,HPSE,9.145085334777832,protein coding
Megakaryocytes,97,ABL2,9.094988322257995,protein coding
Megakaryocytes,98,SRPRB,8.994661331176758,protein coding
Megakaryocytes,99,MAP3K6,8.979515090584755,protein coding
Megakaryocytes,100,DDX1,8.956524228453636,protein coding
NK cells,1,DGKD,77.26502990722656,protein coding
NK cells,2,TRIP12,48.86521911621094,protein coding
NK cells,3,TMEM40,47.58812713623047,protein coding
NK cells,4,CRELD1,45.56093215942383,protein coding
NK cells,5,ATG7,40.978389739990234,protein coding
NK cells,6,ATG16L1,39.038063049316406,protein coding
NK cells,7,GTF3C3,35.80221161842346,protein coding
NK cells,8,CAMK1,35.49851608276367,protein coding
NK cells,9,BCS1L,34.24497711658478,protein coding
NK cells,10,PDCD1,33.02073669433594,protein coding
NK cells,11,BRPF1,30.18874740600586,protein coding
NK cells,12,WNT7A,27.76077651977539,protein coding
NK cells,13,LSM3,27.363134384155273,protein coding
NK cells,14,ATIC,25.224685033162434,protein coding
NK cells,15,NDUFS1,23.865588903427124,protein coding
NK cells,16,CYP27A1,22.7294340133667,protein coding
NK cells,17,TMEM43,22.410043716430664,protein coding
NK cells,18,PDK1,20.6245174407959,protein coding
NK cells,19,PANK4,19.729981608672528,protein coding
NK cells,20,STK16,19.091007232666016,protein coding
NK cells,21,COQ10B,18.917393493652344,protein coding
NK cells,22,MPHOSPH10,18.40507847922189,protein coding
NK cells,23,HAT1,17.56752041407994,protein coding
NK cells,24,SMARCAL1,16.094181060791016,protein coding
NK cells,25,VHL,15.188735008239746,protein coding
NK cells,26,SCN9A,15.146558078852566,protein coding
NK cells,27,TNFRSF14,15.116924895499416,protein coding
NK cells,28,CLASP1,15.008099453789848,protein coding
NK cells,29,PLCH2,14.78581791868356,protein coding
NK cells,30,CLK1,14.523556327819824,protein coding
NK cells,31,ICOS,14.334154844284058,protein coding
NK cells,32,PROC,14.247233322688512,protein coding
NK cells,33,STK39,14.099947051568465,protein coding
NK cells,34,TTN,13.53267456293106,protein coding
NK cells,35,COPS7B,13.473458290100098,protein coding
NK cells,36,LIPT1,13.286796241998672,protein coding
NK cells,37,CTDSP1,12.739908218383789,protein coding
NK cells,38,ITM2C,12.310196876525879,protein coding
NK cells,39,DDX1,11.52394478056166,protein coding
NK cells,40,MRPL33,11.484717554516262,protein coding
NK cells,41,MRPL35,11.267520866895977,protein coding
NK cells,42,SCRN3,11.000240643819174,protein coding
NK cells,43,LBH,10.923994049881443,protein coding
NK cells,44,GCA,10.724090055985885,protein coding
NK cells,45,MGAT4A,10.40491896867752,protein coding
NK cells,46,ZNF669,10.188882027902912,protein coding
NK cells,47,E2F6,9.964885852907015,protein coding
NK cells,48,SNX17,9.60583901252502,protein coding
NK cells,49,DNAJC11,9.20158596268368,protein coding
NK cells,50,RBBP5,8.843379848785982,protein coding
NK cells,51,MEIS1,8.639635880788168,protein coding
NK cells,52,HAAO,8.626016789469226,protein coding
NK cells,53,DHX57,8.448137799898783,protein coding
NK cells,54,ZBTB48,8.423915946509696,protein coding
NK cells,55,FARP2,8.382779121398926,protein coding
NK cells,56,DUSP11,8.356638330221177,protein coding
NK cells,57,CD8A,8.282438289178046,protein coding
NK cells,58,LRRC47,8.12154242115939,protein coding
NK cells,59,NMI,8.034208100575666,protein coding
NK cells,60,B3GNT2,7.9997884172659655,protein coding
NK cells,61,NOL9,7.952423019795241,protein coding
NK cells,62,ZNF692,7.95017778065245,protein coding
NK cells,63,ARHGEF10L,7.893757792870377,protein coding
NK cells,64,WDR12,7.81258624792099,protein coding
NK cells,65,ACVR1,7.760799751831935,protein coding
NK cells,66,CDA,7.733439974829196,protein coding
NK cells,67,NFU1,7.657557108185508,protein coding
NK cells,68,KLHL21,7.6541386015827335,protein coding
NK cells,69,ACADM,7.300647941098041,protein coding
NK cells,70,LAX1,7.251366013119407,protein coding
NK cells,71,PIGK,7.212998884022888,protein coding
NK cells,72,ATG9A,7.207548022270203,protein coding
NK cells,73,QPCT,7.133007216453552,protein coding
NK cells,74,ACTR1B,7.0432960987091064,protein coding
NK cells,75,PTPN4,6.919926929473877,protein coding
NK cells,76,JAK1,6.872265972832882,protein coding
NK cells,77,FHL2,6.852886073291302,protein coding
NK cells,78,PLEKHM2,6.85013079323706,protein coding
NK cells,79,CEBPZ,6.792569204684226,protein coding
NK cells,80,POMGNT1,6.669377111713657,protein coding
NK cells,81,PSMD14,6.475903302431107,protein coding
NK cells,82,SLC35F5,6.451208114624023,protein coding
NK cells,83,ASXL2,6.3856584589655805,protein coding
NK cells,84,PADI2,6.3783972341591735,protein coding
NK cells,85,BARD1,6.333218932151794,protein coding
NK cells,86,NECAP2,6.134668580682325,protein coding
NK cells,87,GYPC,6.03326267855508,protein coding
NK cells,88,CHPF,5.834646701812744,protein coding
NK cells,89,MSH2,5.818189990931544,protein coding
NK cells,90,TSEN2,5.674051284790039,protein coding
NK cells,91,MBD5,5.656021347412696,protein coding
NK cells,92,HP1BP3,5.5968162940419734,protein coding
NK cells,93,ATP13A2,5.580563516924626,protein coding
NK cells,94,CSRP1,5.534409951773428,protein coding
NK cells,95,LAPTM4A,5.503650557994843,protein coding
NK cells,96,AUP1,5.360554808064511,protein coding
NK cells,97,MAL,5.323084248436822,protein coding
NK cells,98,SMYD3,5.3210201913660224,protein coding
NK cells,99,PCYOX1,5.295093558051369,protein coding
NK cells,100,NIF3L1,5.264986801147461,protein coding
Other,1,ANAPC10,98.58186340332031,protein coding
Other,2,DAPP1,90.063232421875,protein coding
Other,3,MCCC1,79.42610168457031,protein coding
Other,4,EREG,77.2645492553711,protein coding
Other,5,ATP11B,68.73568725585938,protein coding
Other,6,KLHL2,64.52142333984375,protein coding
Other,7,SPRY1,61.829769134521484,protein coding
Other,8,MAP9,59.15335464477539,protein coding
Other,9,SLC2A9,56.987998962402344,protein coding
Other,10,SRPRB,55.917253494262695,protein coding
Other,11,SPINK2,53.03322219848633,protein coding
Other,12,CPOX,51.104138692220054,protein coding
Other,13,MYL5,50.25104522705078,protein coding
Other,14,EXOSC9,49.526031494140625,protein coding
Other,15,FIP1L1,48.864891052246094,protein coding
Other,16,TBCCD1,48.1769905090332,protein coding
Other,17,PDGFC,47.58799743652344,protein coding
Other,18,PTX3,45.27869415283203,protein coding
Other,19,SLC30A9,45.22117614746094,protein coding
Other,20,FBXW7,44.7175178527832,protein coding
Other,21,SEC24B,44.662933349609375,protein coding
Other,22,MYLK,43.82010364532471,protein coding
Other,23,PLAC8,43.46834182739258,protein coding
Other,24,ASTE1,42.98470878601074,protein coding
Other,25,CTSO,42.94945526123047,protein coding
Other,26,NDUFC1,40.978355407714844,protein coding
Other,27,MTHFD2L,39.03799819946289,protein coding
Other,28,ACTL6A,38.14881134033203,protein coding
Other,29,LIAS,38.108917236328125,protein coding
Other,30,RFC4,37.26316833496094,protein coding
Other,31,LRCH3,37.06584548950195,protein coding
Other,32,ANKRD17,36.09042739868164,protein coding
Other,33,USP53,35.4983024597168,protein coding
Other,34,ALG3,35.15702819824219,protein coding
Other,35,MRPS18C,33.34755325317383,protein coding
Other,36,COPS4,33.12644577026367,protein coding
Other,37,SLC41A3,33.030548095703125,protein coding
Other,38,DNAJB14,33.02045822143555,protein coding
Other,39,GSTCD,30.185195922851562,protein coding
Other,40,CD38,30.090845108032227,protein coding
Other,41,TMEM39A,29.38653564453125,protein coding
Other,42,CCNL1,29.296476364135742,protein coding
Other,43,PSMD2,29.18561553955078,protein coding
Other,44,DBR1,28.281484603881836,protein coding
Other,45,CEP70,27.547903537750244,protein coding
Other,46,TRIP13,27.3632869720459,protein coding
Other,47,MFSD1,27.235916137695312,protein coding
Other,48,NDUFB5,26.954614639282227,protein coding
Other,49,PDCD10,26.639986038208008,protein coding
Other,50,GUF1,26.333086013793945,protein coding
Other,51,COMMD8,25.924270629882812,protein coding
Other,52,SSR3,25.63998794555664,protein coding
Other,53,GNAI2,25.47193994787004,protein coding
Other,54,POLR2H,24.59954833984375,protein coding
Other,55,NME6,21.869000011020237,protein coding
Other,56,PFN2,21.539751052856445,protein coding
Other,57,AZI2,21.308963119983673,protein coding
Other,58,PARP3,19.581588455608912,protein coding
Other,59,ZNF197,19.53181881904602,protein coding
Other,60,ABHD10,19.087906301021576,protein coding
Other,61,FHIT,18.57692289352417,protein coding
Other,62,EIF5A2,18.51936912536621,protein coding
Other,63,TXK,17.605487823486328,protein coding
Other,64,P2RY13,17.198894500732422,protein coding
Other,65,RNF4,17.17208480834961,protein coding
Other,66,HCLS1,16.97907829284668,protein coding
Other,67,SULT1B1,16.30834197998047,protein coding
Other,68,EAF2,16.278770208358765,protein coding
Other,69,NMD3,16.258068084716797,protein coding
Other,70,PCNP,16.071349779764812,protein coding
Other,71,TBL1XR1,16.042335510253906,protein coding
Other,72,CLDND1,15.938074827194214,protein coding
Other,73,DNAJC13,15.635402500629425,protein coding
Other,74,QDPR,15.591878890991211,protein coding
Other,75,RPN1,15.390652179718018,protein coding
Other,76,GTPBP8,15.339151859283447,protein coding
Other,77,TNIP3,15.188509941101074,protein coding
Other,78,STK16,14.95239889912489,protein coding
Other,79,RASA2,14.69633960723877,protein coding
Other,80,RBM6,14.530506875779894,protein coding
Other,81,HLTF,14.018183708190918,protein coding
Other,82,CXCL3,13.474254608154297,protein coding
Other,83,PDE6B,13.364657402038574,protein coding
Other,84,DPPA4,13.338191350301107,protein coding
Other,85,TRIP12,13.1413343725726,protein coding
Other,86,NDUFS6,13.09346866607666,protein coding
Other,87,FBLN2,12.93688377737999,protein coding
Other,88,RSRC1,12.817888259887695,protein coding
Other,89,VPS8,12.674223899841309,protein coding
Other,90,MRPS22,12.61204195022583,protein coding
Other,91,TMEM165,12.403724670410156,protein coding
Other,92,HSPBAP1,12.375426292419434,protein coding
Other,93,DCK,12.309842109680176,protein coding
Other,94,BRPF1,12.191613058249155,protein coding
Other,95,RASSF1,12.177054299248589,protein coding
Other,96,PANK4,12.006905605674563,protein coding
Other,97,S100P,11.89787769317627,protein coding
Other,98,MED28,11.69479751586914,protein coding
Other,99,ZBTB11,11.6544558207194,protein coding
Other,100,OXSR1,11.511178753592752,protein coding
